panel,dataset,method,mask_frac,n_runs,n_descriptors,mae_mean,mae_sd,mae_median,rmse_mean,rmse_sd,rmse_median,r2_mean,r2_sd,r2_median,pearson_r_mean,pearson_r_sd,pearson_r_median
panel1,logp,knn,0.5,25,25,45.52924621028696,169.70151147223342,0.5323656848445648,90.84433600216933,325.51336375082013,1.0059638221553842,0.9282153260589897,0.06852234829923742,0.9394219839144012,0.9641299790455329,0.03543303855322037,0.9707723572298298
panel1,logp,mean,0.5,25,25,427.34217732762596,1740.1205574526732,4.3227657688322,569.6382647902832,2303.2712977497363,5.63985938165858,-0.0009116951285615012,0.0014313558548640691,-0.000408778868095,,,
panel1,logp,median,0.5,25,25,408.46308235434793,1692.470718104317,4.194231455686031,579.3492158269104,2328.6863276514428,5.709015460787156,-0.05937410512712873,0.09686313141726573,-0.0272476335572298,,,
panel1,logp,mice,0.5,25,25,20.318705733967974,72.35334449678957,0.0384251946105633,34.54823989590925,119.01333339271274,0.0601312905514233,0.9793399168727959,0.026845745996226876,0.987639960322326,0.9896269668826007,0.013536131080322675,0.9938475784164134
panel1,logp,miss_transformer,0.5,25,25,42.848250705334685,153.932448785331,0.4898198062316635,67.96794018086752,235.00288804281624,0.8003712096283553,0.9527929294083254,0.0645829922706871,0.975370183743279,0.9773320482994108,0.0340871252509605,0.992047954573215
panel1,logp,missforest,0.5,25,25,22.714663981394686,93.21503048186544,0.2066964917368703,58.791746306432216,220.35211365894637,0.6837740330724692,0.9743365601305062,0.028746491401153724,0.9860682067096708,0.987502155355568,0.013887913389981315,0.993214347277214
panel2,logp,knn,0.5,25,25,3494.6048638786583,17455.881673576878,0.4320894483380116,39017.85318539719,195040.93701669687,0.7976402069137463,0.9424688082157898,0.07076266706936901,0.968091986351166,0.9711200342128042,0.03773482761453228,0.9855466814396224
panel2,logp,mean,0.5,25,25,20682.72538160643,103210.21915441279,2.010573455870345,67264.35873493852,336029.5896879788,3.0429768911216653,-0.0008231352417482167,0.0010780649004210258,-0.0004227451181795,,,
panel2,logp,median,0.5,25,25,11402.098667959925,56817.83350137205,1.9321528303787687,68211.10073039327,340756.2164550708,3.079638303100233,-0.04692330588181453,0.043155572757037436,-0.0318925538772494,,,
panel2,logp,mice,0.5,25,25,3346.616905820044,16731.88117024317,0.0282515470920322,31563.988831173396,157817.90706417707,0.0536020319403488,0.979264223811311,0.05168110409631297,0.9996359774013704,0.9893148676434642,0.026940464132381863,0.9998198257184592
panel2,logp,miss_transformer,0.5,25,25,5149.700559927047,25726.29772573211,0.3619161477832535,36205.84345403537,180995.66801501907,0.5735420387438563,0.9593855607722058,0.060266680910243356,0.9843356922961272,0.9807999769175396,0.03222969958992907,0.9927554657429845
panel2,logp,missforest,0.5,25,25,1884.963622247389,9418.779865213914,0.167035765697872,31671.850658319807,158327.19336868843,0.565204755582487,0.978713551923726,0.044598567493224876,0.9935768547000928,0.9892491066931551,0.023380776191699905,0.9968140892331194
