panel,dataset,descriptor,method,seed,mask_frac,n_observed,n_masked,mae,rmse,r2,pearson_r,seconds
panel2,logp,VR1_Dze,miss_transformer,42,0.5,4929,2464,128635.91714366613,904985.0458298072,0.7098278220948546,0.8430604437227228,1072.3492641448977
panel1,logp,AATSC4m,miss_transformer,42,0.5,4929,2464,4.615151111926687,9.09042768977112,0.7154466083471983,0.847453403522548,1252.790233373642
panel1,logp,GATS4m,miss_transformer,42,0.5,4929,2464,0.074005972134409,0.1092577454245139,0.8130584736670448,0.9033684903988266,1199.9422087669373
panel2,logp,MLFER_A,miss_transformer,42,0.5,4929,2464,0.0699509437465828,0.1148981738489381,0.8878402699844316,0.9446617084198372,1278.8278625011444
panel2,logp,ATSC7e,miss_transformer,42,0.5,4929,2464,1.330960471581199,2.0304270929374577,0.9010404355432928,0.9601291270939932,1250.1527998447418
panel2,logp,MDEC-34,miss_transformer,42,0.5,4929,2464,0.3619161477832535,0.5735420387438563,0.9080006684117242,0.9532684108995076,1211.3801310062408
panel1,logp,JGI4,miss_transformer,42,0.5,4929,2464,0.0017871653514478,0.0027684625048449,0.9134980360502398,0.961145598805892,1169.5491750240326
panel1,logp,VE1_Dzv,miss_transformer,42,0.5,4929,2464,0.0385069454164707,0.0515057237537419,0.920970917002113,0.9682083786918496,1160.791321516037
panel1,logp,MATS4m,miss_transformer,42,0.5,4929,2464,0.0490272679168569,0.0663191662050954,0.9248629013285032,0.968108023285263,1229.7490339279177
panel1,logp,ALogp2,miss_transformer,42,0.5,4929,2464,3.2926075155698022,9.46312992647717,0.934071590471494,0.968587896493892,1573.1828589439392
panel1,logp,ATSC4m,miss_transformer,42,0.5,4929,2464,297.3621271852292,516.9583803098154,0.9346259552745392,0.9677094164443514,1203.2979214191437
panel1,logp,MDEC-23,miss_transformer,42,0.5,4929,2464,0.5644809901502661,0.8651280250998599,0.936711310897146,0.9680715673235318,1173.275934934616
panel2,logp,MLFER_BH,miss_transformer,42,0.5,4929,2464,0.0989868991572467,0.1441852555724991,0.9433633820858768,0.9741981706258928,1377.089130401611
panel2,logp,AATSC7e,miss_transformer,42,0.5,4929,2464,0.0180180680484276,0.0275435217068481,0.9498673769139164,0.9787549926732516,1250.2409255504608
panel1,logp,AATS4m,miss_transformer,42,0.5,4929,2464,10.277417884244548,17.034397735278155,0.9521365611668642,0.9813265548829412,1210.3669667243958
panel2,logp,MATS7e,miss_transformer,42,0.5,4929,2464,0.0478192233048192,0.0714355210479717,0.9546668552534252,0.9782175005902756,1218.716367483139
panel2,logp,GATS7e,miss_transformer,42,0.5,4929,2464,0.0629152178540583,0.1034397099500501,0.9568571063617752,0.9814668572931782,1221.3182561397552
panel1,logp,nAcid,miss_transformer,42,0.5,4929,2464,0.0595048426819795,0.1143073353094448,0.9594613588846164,0.9800561967680094,1209.297784090042
panel1,logp,ALogP,miss_transformer,42,0.5,4929,2464,0.35748245778157,0.5102911610792144,0.9635203771980276,0.9818292429015298,1460.8507010936737
panel1,logp,XLogP,miss_transformer,42,0.5,4929,2464,0.4898198062316635,0.8195741225824306,0.9657506668977291,0.98479664099074,1470.1979565620422
panel2,logp,MPC7,miss_transformer,42,0.5,4929,2464,4.647505497777617,7.368661190937913,0.9734887744427696,0.9877888089689872,1207.2920129299164
panel2,logp,ETA_Shape_X,miss_transformer,42,0.5,4929,2464,0.0085949439573549,0.0137214563111448,0.9743997898959542,0.9871933194935189,1203.223424434662
panel1,logp,ETA_Epsilon_3,miss_transformer,42,0.5,4929,2464,0.0002606147658321,0.0003787811784853,0.975370183743279,0.992047954573215,1207.3759639263153
panel2,logp,AATS7e,miss_transformer,42,0.5,4929,2464,0.2791336970282839,0.475455400467495,0.9755868351746722,0.988280296592604,1478.3513686656952
panel2,logp,Kier3,miss_transformer,42,0.5,4929,2464,0.2267373529105604,0.3428356340330967,0.9841915333700472,0.9927554657429845,1265.4869391918182
panel2,logp,piPC7,miss_transformer,42,0.5,4929,2464,0.1236094961595999,0.1877894204806779,0.9843356922961272,0.9927340900342853,1256.2779564857483
panel1,logp,MLFER_L,miss_transformer,42,0.5,4929,2464,0.2926464170934149,0.3958439618754274,0.9847138915079684,0.9933133748554354,1237.4875664711
panel2,logp,nAromBond,miss_transformer,42,0.5,4929,2464,0.176108897675748,0.353329287612918,0.984946519024509,0.9942207005391942,1455.3009593486786
panel2,logp,ATS7e,miss_transformer,42,0.5,4929,2464,48.88679486900181,74.83535386641766,0.9859940048355872,0.993769570372356,1383.7825758457184
