descriptor,mae,rmse,r2,pearson_r
AATSC4m,4.615151111926687,9.09042768977112,0.7154466083471983,0.847453403522548
GATS4m,0.074005972134409,0.1092577454245139,0.8130584736670448,0.9033684903988266
JGI4,0.0017871653514478,0.0027684625048449,0.9134980360502398,0.961145598805892
VE1_Dzv,0.0385069454164707,0.0515057237537419,0.920970917002113,0.9682083786918496
MATS4m,0.0490272679168569,0.0663191662050954,0.9248629013285032,0.968108023285263
ALogp2,3.2926075155698022,9.46312992647717,0.934071590471494,0.968587896493892
ATSC4m,297.3621271852292,516.9583803098154,0.9346259552745392,0.9677094164443514
MDEC-23,0.5644809901502661,0.8651280250998599,0.936711310897146,0.9680715673235318
AATS4m,10.277417884244548,17.034397735278155,0.9521365611668642,0.9813265548829412
nAcid,0.0595048426819795,0.1143073353094448,0.9594613588846164,0.9800561967680094
ALogP,0.35748245778157,0.5102911610792144,0.9635203771980276,0.9818292429015298
XLogP,0.4898198062316635,0.8195741225824306,0.9657506668977291,0.98479664099074
ETA_Epsilon_3,0.0002606147658321,0.0003787811784853,0.975370183743279,0.992047954573215
MLFER_L,0.2926464170934149,0.3958439618754274,0.9847138915079684,0.9933133748554354
TopoPSA,2.912817114262612,4.113218442877313,0.9876117491939902,0.9947932861879968
SpAbs_Dzv,21.27188522165472,50.54170603231497,0.9887620741368878,0.9945968795833317
ATS4m,724.9520781628497,1081.956707137072,0.9910668092688883,0.9957920557879124
AMR,1.7687390657601418,2.800283360323506,0.9918973878235005,0.9960995773731552
MWC5,0.03187454404769,0.0499659718343088,0.9919070122944976,0.9961983564415612
nO,0.1104028914849479,0.1831815205463384,0.9921518588368574,0.997669162721039
nF,0.4183781832069546,0.6690348871538636,0.994604276009946,0.9977574298590608
apol,0.8104188492545834,1.210514167488087,0.996356334409802,0.9983797625588448
nAtom,0.6745589089083981,1.0879918415484082,0.9970483853225526,0.9985659140407772
ETA_Alpha,0.198174891824072,0.3038198045454973,0.9970965895594662,0.9987909703600554
nHeavyAtom,0.5821136236190796,0.8003712096283553,0.9971219259149852,0.9986350726335086
